Iso8601Time,3579.feed_161522.tvoc_ch0
2023-10-25T05:10:07.080000-04:00,55
2023-10-25T05:10:08.080000-04:00,53
2023-10-25T05:10:09.080000-04:00,51
2023-10-25T05:10:10.080000-04:00,48
2023-10-25T05:10:11.081000-04:00,55
2023-10-25T05:10:12.082000-04:00,54
2023-10-25T05:10:13.081000-04:00,51
2023-10-25T05:10:14.082000-04:00,58
2023-10-25T05:10:15.081000-04:00,51
2023-10-25T05:10:16.080000-04:00,50
2023-10-25T05:10:17.080000-04:00,57
2023-10-25T05:10:18.080000-04:00,54
2023-10-25T05:10:19.080000-04:00,45
2023-10-25T05:10:20.081000-04:00,45
2023-10-25T05:10:21.083000-04:00,50
2023-10-25T05:10:22.081000-04:00,58
2023-10-25T05:10:23.080000-04:00,50
2023-10-25T05:10:24.080000-04:00,58
2023-10-25T05:10:25.080000-04:00,52
2023-10-25T05:10:26.080000-04:00,48
2023-10-25T05:10:27.081000-04:00,45
2023-10-25T05:10:28.080000-04:00,46
2023-10-25T05:10:29.080000-04:00,47
2023-10-25T05:10:30.081000-04:00,51
2023-10-25T05:10:31.080000-04:00,46
2023-10-25T05:10:32.080000-04:00,36
2023-10-25T05:10:33.081000-04:00,38
2023-10-25T05:10:34.080000-04:00,46
2023-10-25T05:10:35.080000-04:00,34
2023-10-25T05:10:36.080000-04:00,48
2023-10-25T05:10:37.083000-04:00,42
2023-10-25T05:10:38.081000-04:00,42
2023-10-25T05:10:39.080000-04:00,47
2023-10-25T05:10:40.080000-04:00,41
2023-10-25T05:10:41.083000-04:00,39
2023-10-25T05:10:42.081000-04:00,42
2023-10-25T05:10:43.081000-04:00,38
2023-10-25T05:10:44.081000-04:00,40
2023-10-25T05:10:45.080000-04:00,41
2023-10-25T05:10:46.081000-04:00,46
2023-10-25T05:10:47.082000-04:00,41
2023-10-25T05:10:48.080000-04:00,40
2023-10-25T05:10:49.080000-04:00,42
2023-10-25T05:10:50.081000-04:00,36
2023-10-25T05:10:51.080000-04:00,36
2023-10-25T05:10:52.080000-04:00,43
2023-10-25T05:10:53.080000-04:00,35
2023-10-25T05:10:54.081000-04:00,40
2023-10-25T05:10:55.080000-04:00,50
2023-10-25T05:10:56.080000-04:00,46
2023-10-25T05:10:57.081000-04:00,48
2023-10-25T05:10:58.081000-04:00,47
2023-10-25T05:10:59.080000-04:00,40
2023-10-25T05:11:00.080000-04:00,43
2023-10-25T05:11:01.080000-04:00,56
2023-10-25T05:11:02.086000-04:00,50
2023-10-25T05:11:03.080000-04:00,40
2023-10-25T05:11:04.080000-04:00,36
2023-10-25T05:11:05.080000-04:00,47
2023-10-25T05:11:06.080000-04:00,41
2023-10-25T05:11:07.080000-04:00,49
2023-10-25T05:11:08.080000-04:00,37
2023-10-25T05:11:09.080000-04:00,49
2023-10-25T05:11:10.080000-04:00,47
2023-10-25T05:11:11.081000-04:00,45
2023-10-25T05:11:12.081000-04:00,44
2023-10-25T05:11:13.081000-04:00,51
2023-10-25T05:11:14.080000-04:00,40
2023-10-25T05:11:15.080000-04:00,41
2023-10-25T05:11:16.081000-04:00,42
2023-10-25T05:11:17.080000-04:00,33
2023-10-25T05:11:18.080000-04:00,40
2023-10-25T05:11:19.080000-04:00,49
2023-10-25T05:11:20.080000-04:00,61
2023-10-25T05:11:21.081000-04:00,48
2023-10-25T05:11:22.080000-04:00,33
2023-10-25T05:11:23.083000-04:00,54
2023-10-25T05:11:24.080000-04:00,51
2023-10-25T05:11:25.080000-04:00,51
2023-10-25T05:11:26.080000-04:00,49
2023-10-25T05:11:27.081000-04:00,53
2023-10-25T05:11:28.081000-04:00,47
2023-10-25T05:11:29.080000-04:00,61
2023-10-25T05:11:30.080000-04:00,48
2023-10-25T05:11:31.081000-04:00,50
2023-10-25T05:11:32.080000-04:00,49
2023-10-25T05:11:33.081000-04:00,47
2023-10-25T05:11:34.080000-04:00,45
2023-10-25T05:11:35.081000-04:00,44
2023-10-25T05:11:36.080000-04:00,40
2023-10-25T05:11:37.080000-04:00,35
2023-10-25T05:11:38.082000-04:00,43
2023-10-25T05:11:39.080000-04:00,35
2023-10-25T05:11:40.080000-04:00,46
2023-10-25T05:11:41.080000-04:00,48
2023-10-25T05:11:42.081000-04:00,43
2023-10-25T05:11:43.080000-04:00,43
2023-10-25T05:11:44.083000-04:00,51
2023-10-25T05:11:45.080000-04:00,43
2023-10-25T05:11:46.080000-04:00,39
2023-10-25T05:11:47.080000-04:00,39
2023-10-25T05:11:48.080000-04:00,40
2023-10-25T05:11:49.526000-04:00,47
2023-10-25T05:11:50.526000-04:00,51
2023-10-25T05:11:51.126000-04:00,48
2023-10-25T05:11:52.082000-04:00,43
2023-10-25T05:11:53.080000-04:00,54
2023-10-25T05:11:54.081000-04:00,48
2023-10-25T05:11:55.080000-04:00,48
2023-10-25T05:11:56.081000-04:00,48
2023-10-25T05:11:57.080000-04:00,54
2023-10-25T05:11:58.080000-04:00,56
2023-10-25T05:11:59.080000-04:00,44
2023-10-25T05:12:00.081000-04:00,47
2023-10-25T05:12:01.080000-04:00,47
2023-10-25T05:12:02.081000-04:00,51
2023-10-25T05:12:03.080000-04:00,44
2023-10-25T05:12:04.080000-04:00,46
2023-10-25T05:12:05.080000-04:00,53
2023-10-25T05:12:06.080000-04:00,55
2023-10-25T05:12:07.080000-04:00,54
2023-10-25T05:12:08.080000-04:00,45
2023-10-25T05:12:09.081000-04:00,47
2023-10-25T05:12:10.080000-04:00,47
2023-10-25T05:12:11.080000-04:00,52
2023-10-25T05:12:12.084000-04:00,39
2023-10-25T05:12:13.080000-04:00,56
2023-10-25T05:12:14.083000-04:00,47
2023-10-25T05:12:15.080000-04:00,52
2023-10-25T05:12:16.081000-04:00,48
2023-10-25T05:12:17.081000-04:00,53
2023-10-25T05:12:18.080000-04:00,58
2023-10-25T05:12:19.080000-04:00,49
2023-10-25T05:12:20.080000-04:00,58
2023-10-25T05:12:21.081000-04:00,54
2023-10-25T05:12:22.080000-04:00,54
2023-10-25T05:12:23.080000-04:00,57
2023-10-25T05:12:24.081000-04:00,54
2023-10-25T05:12:25.082000-04:00,52
2023-10-25T05:12:26.082000-04:00,59
2023-10-25T05:12:27.080000-04:00,59
2023-10-25T05:12:28.080000-04:00,64
2023-10-25T05:12:29.080000-04:00,59
2023-10-25T05:12:30.081000-04:00,61
2023-10-25T05:12:31.080000-04:00,56
2023-10-25T05:12:32.081000-04:00,48
2023-10-25T05:12:33.080000-04:00,58
2023-10-25T05:12:34.080000-04:00,51
2023-10-25T05:12:35.081000-04:00,58
2023-10-25T05:12:36.080000-04:00,43
2023-10-25T05:12:37.080000-04:00,55
2023-10-25T05:12:38.080000-04:00,55
2023-10-25T05:12:39.081000-04:00,68
2023-10-25T05:12:40.081000-04:00,62
2023-10-25T05:12:41.080000-04:00,55
2023-10-25T05:12:42.080000-04:00,54
2023-10-25T05:12:43.080000-04:00,52
2023-10-25T05:12:44.080000-04:00,64
2023-10-25T05:12:45.081000-04:00,45
2023-10-25T05:12:46.080000-04:00,70
2023-10-25T05:12:47.081000-04:00,61
2023-10-25T05:12:48.081000-04:00,59
2023-10-25T05:12:49.082000-04:00,60
2023-10-25T05:12:50.081000-04:00,66
2023-10-25T05:12:51.082000-04:00,61
2023-10-25T05:12:52.080000-04:00,65
2023-10-25T05:12:53.080000-04:00,59
2023-10-25T05:12:54.080000-04:00,55
2023-10-25T05:12:55.081000-04:00,63
2023-10-25T05:12:56.082000-04:00,58
2023-10-25T05:12:57.080000-04:00,74
2023-10-25T05:12:58.083000-04:00,83
2023-10-25T05:12:59.080000-04:00,52
2023-10-25T05:13:00.081000-04:00,59
2023-10-25T05:13:01.083000-04:00,61
2023-10-25T05:13:02.081000-04:00,68
2023-10-25T05:13:03.080000-04:00,57
2023-10-25T05:13:04.080000-04:00,69
2023-10-25T05:13:05.080000-04:00,56
2023-10-25T05:13:06.080000-04:00,71
2023-10-25T05:13:07.080000-04:00,55
2023-10-25T05:13:08.080000-04:00,62
2023-10-25T05:13:09.080000-04:00,59
2023-10-25T05:13:10.081000-04:00,72
2023-10-25T05:13:11.081000-04:00,58
2023-10-25T05:13:12.082000-04:00,69
2023-10-25T05:13:13.081000-04:00,51
2023-10-25T05:13:14.080000-04:00,52
2023-10-25T05:13:15.085000-04:00,46
2023-10-25T05:13:16.081000-04:00,51
2023-10-25T05:13:17.080000-04:00,67
2023-10-25T05:13:18.080000-04:00,62
2023-10-25T05:13:19.080000-04:00,66
2023-10-25T05:13:20.080000-04:00,62
2023-10-25T05:13:21.081000-04:00,63
2023-10-25T05:13:22.080000-04:00,72
2023-10-25T05:13:23.081000-04:00,62
2023-10-25T05:13:24.083000-04:00,70
2023-10-25T05:13:25.080000-04:00,65
2023-10-25T05:13:26.080000-04:00,67
2023-10-25T05:13:27.080000-04:00,55
2023-10-25T05:13:28.081000-04:00,62
2023-10-25T05:13:29.081000-04:00,62
2023-10-25T05:13:30.080000-04:00,70
2023-10-25T05:13:31.080000-04:00,62
2023-10-25T05:13:32.080000-04:00,57
2023-10-25T05:13:33.082000-04:00,63
2023-10-25T05:13:34.080000-04:00,61
2023-10-25T05:13:35.080000-04:00,59
2023-10-25T05:13:36.083000-04:00,60
2023-10-25T05:13:37.080000-04:00,67
2023-10-25T05:13:38.080000-04:00,73
2023-10-25T05:13:39.080000-04:00,61
2023-10-25T05:13:40.081000-04:00,65
2023-10-25T05:13:41.080000-04:00,60
2023-10-25T05:13:42.080000-04:00,66
2023-10-25T05:13:43.081000-04:00,77
2023-10-25T05:13:44.080000-04:00,61
2023-10-25T05:13:45.080000-04:00,75
2023-10-25T05:13:46.081000-04:00,68
2023-10-25T05:13:47.081000-04:00,70
2023-10-25T05:13:48.082000-04:00,59
2023-10-25T05:13:49.081000-04:00,62
2023-10-25T05:13:50.080000-04:00,64
2023-10-25T05:13:51.080000-04:00,63
2023-10-25T05:13:52.080000-04:00,56
2023-10-25T05:13:53.081000-04:00,63
2023-10-25T05:13:54.080000-04:00,69
2023-10-25T05:13:55.080000-04:00,70
2023-10-25T05:13:56.080000-04:00,70
2023-10-25T05:13:57.080000-04:00,72
2023-10-25T05:13:58.081000-04:00,65
2023-10-25T05:13:59.080000-04:00,66
2023-10-25T05:14:00.080000-04:00,45
2023-10-25T05:14:01.081000-04:00,61
2023-10-25T05:14:02.081000-04:00,71
2023-10-25T05:14:03.081000-04:00,63
2023-10-25T05:14:04.080000-04:00,72
2023-10-25T05:14:05.083000-04:00,86
2023-10-25T05:14:06.080000-04:00,65
